,text_number,screen_number,sentence_number,w_in_sent_id,w_in_screen_id,deps,n_rights,n_lefts,dep_distance,word_length,surprisal_gpt,contains_punctuation,lex_freq_unk,lex_freq,PoS-Tag
7180,13,5,2,12,46,nk,0,0,1,7,9.265764236450195,TRUE,FALSE,37.55631291,nn
7181,13,5,3,1,47,nk,0,0,-1,6,5.412838935852051,FALSE,FALSE,4932.973467,pdat
7182,13,5,3,2,48,sb,1,1,-3,6,10.191704750061035,FALSE,FALSE,8.763684684,nn
7183,13,5,3,3,49,mnr,1,0,1,3,6.891246318817139,FALSE,FALSE,1120.190199,apprart
7184,13,5,3,4,50,nk,0,0,1,10,8.358565330505371,FALSE,FALSE,1.070935348,nn
7185,13,5,3,5,51,ROOT,6,1,0,7,0.8469429016113281,FALSE,FALSE,55.1899583,vvfin
7186,13,5,3,6,52,mo,0,0,1,4,0.00046171,FALSE,FALSE,333.2407451,adv
7187,13,5,3,7,53,ng,0,0,2,5,7.6375861167907715,FALSE,FALSE,6860.935047,ptkneg
7188,13,5,3,8,54,nk,0,0,-1,3,4.847784996032715,FALSE,FALSE,80100.30691,art
7189,13,5,3,9,55,oa,1,1,4,7,0.6521198153495789,FALSE,FALSE,104.2404323,nn
7190,13,5,3,10,56,pg,1,0,1,3,1.5671758651733398,FALSE,FALSE,8265.372744,appr
7191,13,5,3,11,57,nk,1,0,1,7,8.593963623046875,FALSE,FALSE,138.2651111,nn
7192,13,5,3,12,58,cd,1,0,1,3,2.8602828979492188,FALSE,FALSE,23398.58848,kon
7193,13,5,3,13,59,cj,0,0,1,7,0.23682931065559387,TRUE,FALSE,26.65075753,nn
7194,13,5,3,14,60,cj,3,0,10,7,0.033095345,FALSE,FALSE,32.12806045,vvfin
7195,13,5,3,15,61,oa,0,0,1,2,0.005646825,FALSE,FALSE,7209.667567,pper
7196,13,5,3,16,62,mo,0,0,2,4,0.23118248581886292,FALSE,FALSE,3054.511991,adv
7197,13,5,3,17,63,mo,0,0,-1,4,8.357772827148438,FALSE,FALSE,1318.47674,adjd
7198,13,5,3,18,64,mo,0,1,4,11,3.6980204582214355,TRUE,FALSE,176.1157268,adjd
7199,13,5,4,1,65,nk,0,0,-1,3,3.379605293273926,FALSE,FALSE,80100.30691,art
7200,13,5,4,2,66,ROOT,1,1,0,6,10.164954543113708,TRUE,FALSE,2.787701938,nn
7201,13,5,5,1,67,nk,0,0,-1,3,3.357825279,FALSE,FALSE,80100.30691,art
7202,13,5,5,2,68,sb,1,1,-3,8,7.1305670738220215,FALSE,FALSE,29.7736377,nn
